Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
bcb291d9-1d62-4497-bf52-60cc2b5ad933,2014-01-13,,999-18-4760,,,,Billy698,Maynard46,Luettgen772,,,,white,nonhispanic,M,Towson  Maryland  US,650 Lemke Frontage road Unit 93,Elkridge,Maryland,Howard County,24027,21075,39.184015736291,-76.79054821107881,2962.42,47660.30,4052
5cd1f9a5-3fc0-f097-6774-e00ec6ce276c,1980-10-23,,999-40-5451,S99973355,X24972856X,Mr.,Miles206,Jarrett354,Douglas31,,,S,white,nonhispanic,M,Glen Burnie  Maryland  US,1077 Bruen Street,Baltimore,Maryland,Baltimore city,24510,21206,39.34716056557758,-76.6039617646588,30798.40,292907.14,42174
b3bdbd21-edf6-c615-feef-b5cde2360eed,1961-06-20,,999-45-2344,S99916889,X55558568X,Mr.,Ariel183,,Runte676,,,M,white,nonhispanic,M,North Laurel  Maryland  US,383 Mayer Corner,Rosedale,Maryland,Baltimore County,24005,21237,39.345088921729236,-76.4771826319429,49551.43,606278.31,37194
8c56cb2f-683e-76ce-577c-ca9a7a823849,2002-04-28,,999-34-1908,S99966130,X65976662X,Mr.,Jonas187,Marcellus830,Johnston597,,,,white,hispanic,M,Glen Burnie  Maryland  US,204 Kuvalis Rest Apt 49,Mays Chapel,Maryland,Baltimore County,,00000,39.38605053708506,-76.60146358646519,14303.80,793266.95,184056
7a6f88d2-29cd-c635-03ab-a0bf4beba41a,1997-08-01,,999-86-6400,S99926901,X46961645X,Mr.,Karl184,Al123,Kshlerin58,,,,white,nonhispanic,M,Rossville  Maryland  US,592 Gottlieb Knoll Suite 5,Annapolis,Maryland,Anne Arundel County,24003,21403,38.93865002245878,-76.4878392533648,12198.99,72780.91,45140
1260c553-a801-082d-2f30-80e9a8800653,2003-02-26,,999-27-7530,S99939385,X7552092X,Mr.,Teodoro374,Mauro926,Smitham825,,,,black,nonhispanic,M,Randallstown  Maryland  US,874 Rempel Port,North Bethesda,Maryland,Montgomery County,24031,20852,39.0453189619105,-77.08474679773533,27644.91,922101.49,162740
3ce4dfbb-3cfb-6bf5-018a-fc7968ad9b7e,2005-05-29,,999-17-1862,S99974993,,Ms.,Ashly243,Amada498,Yundt842,,,,black,nonhispanic,F,Cheverly  Maryland  US,1016 Gibson Hollow,Columbia,Maryland,Howard County,24027,21044,39.14484132243946,-76.88555055581355,12472.05,109842.45,142619
2750dcae-8b48-defd-6b73-ddab209ccb9e,2016-09-12,,999-50-3104,,,,Nicholas495,Kris249,Hayes766,,,,black,nonhispanic,M,Odenton  Maryland  US,271 Bradtke Dale,Marlboro Village,Maryland,Prince George's County,,00000,38.872913459117726,-76.78409502110058,7624.62,18821.19,59347
bc3bc5c9-b213-4478-b4ac-0619350af669,1976-08-28,,999-42-4252,S99995962,X50491727X,Mrs.,Alejandra902,Teresa94,Bustos920,,Flórez858,M,black,nonhispanic,F,Marigot  Saint Andrew Parish  DM,373 Pfannerstill Run,Towson,Maryland,Baltimore County,24005,21204,39.39765379996805,-76.6666122002719,57465.71,1617350.95,985703
44c4f9ca-e9b8-28e3-8044-5a4b3c4db795,2016-08-14,,999-96-9048,,,,Olga567,,Hilpert278,,,,black,nonhispanic,F,Parkville  Maryland  US,996 Bartell Ranch Apt 30,Colesville,Maryland,Montgomery County,24031,20904,39.09623136024991,-76.99327612551166,1554.00,33370.25,38929
5b3e5a69-76c9-56bc-0afd-283be0ac9d5f,2018-05-13,,999-77-3221,,,,Marcia467,Leia529,Goodwin327,,,,asian,nonhispanic,F,Hanoi  Hà Đông  VN,653 Bradtke Lane,North Bethesda,Maryland,Montgomery County,24031,20852,39.08626668553779,-77.14361960538011,515.00,24747.52,49791
1eddedd2-52f2-8290-9b33-36ca5d890717,1988-03-22,,999-29-2533,S99952025,X47049370X,Mrs.,Clotilde434,Portia383,Maggio310,,Reilly981,M,white,nonhispanic,F,Baltimore  Maryland  US,1077 Hagenes Station Unit 72,Odenton,Maryland,Anne Arundel County,24003,21113,39.07908943125093,-76.69980196026448,30171.69,1111829.49,64820
